year,value 
1960,34.90
1961,35.50
1962,35.80
1963,37.50
1964,39.20
1965,39.70
1966,40.10
1967,41.50
1968,44.00
1969,44.90
1970,46.20
1971,48.70
1972,50.70
1973,53.30
1974,51.90
1975,51.40
1976,53.10
1977,54.30
1978,56.00
1979,57.30
1980,56.40
1981,57.60
1982,60.10
1983,63.10
1984,62.90
1985,64.80
1986,66.30
1987,68.50
1988,69.90
1989,69.80
1990,70.10
1991,71.50
1992,73.50
1993,76.00
1994,78.10
1995,78.80
1996,79.80
1997,80.70
1998,82.40
1999,83.80
2000,85.90
2001,86.90
2002,87.90
2003,89.60
2004,90.60
2005,92.10
2006,93.70
2007,95.00
2008,94.10
2009,91.60
2010,93.50
2011,94.40
2012,95.00
2013,95.60
2014,96.20
2015,96.90
2016,97.80
2017,98.90
2018,99.30
2019,100.00
2020,91.30
