Building Name/No_/Location,City,Post Code,Latitude,Longitude
Coupar Angus Cycling Club,Blairgowrie,PH13 9AL,56.548068,-3.26393
341,Glasgow,G5 0JU,55.844478,-4.244065
47,Glasgow,G5 0PZ,55.849329,-4.24344
6,Glasgow,G5 0UT,55.848736,-4.243584
20,Glasgow,G13 3HF,55.888866,-4.357029
381,Glasgow,G33 3TH,55.87248,-4.167508
Osprey House,Paisley,PA3 2RE,55.859328,-4.424066
Municipal Buildings,Paisley,PA1 1BU,55.845764,-4.417969
160,Greenock,PA15 1HX,55.946946,-4.751325
68,St Andrews,KY16 8JW,56.331487,-2.800248
,Leven,KY8 3DF,56.181611,-3.023958
,Edinburgh,EH12 9BH,55.934306,-3.338993
11,Glasgow,G40 3BT,55.846041,-4.220612
31,Glasgow,G40 3BW,55.846499,-4.219411
112,Glasgow,G40 3BL,55.846849,-4.219891
11,Glasgow,G22 6RD,55.897114,-4.265757
11,Glasgow,G22 6RD,55.897114,-4.265757
106,Edinburgh,EH16 4DT,55.932527,-3.135092
106,Edinburgh,EH16 4DT,55.932527,-3.135092
,Alloa,FK10 2ES,56.133341,-3.813274
,Alloa,FK10 2ES,56.133341,-3.813274
178,Glasgow,G21 3AQ,55.890753,-4.22972
178,Glasgow,G21 3AQ,55.890753,-4.22972
198,Glasgow,G21 3AJ,55.891346,-4.229479
198,Glasgow,G21 3AJ,55.891346,-4.229479
200,Glasgow,G13 3PP,55.892289,-4.349957
200,Glasgow,G13 3PP,55.892289,-4.349958
200,Glasgow,G13 3PP,55.892289,-4.349959
200,Glasgow,G13 3PP,55.892289,-4.349958
200,Glasgow,G13 3PP,55.892289,-4.349959
55,Glasgow,G13 3SA,55.887492,-4.355827
55,Glasgow,G13 3SA,55.887492,-4.355828
55,Glasgow,G13 3SA,55.887492,-4.355829
55,Glasgow,G13 3SA,55.887492,-4.35583
57,Glasgow,G11 7QT,55.872911,-4.315816
57,Glasgow,G11 7QT,55.873046,-4.316681
15,Glasgow,G11 7AR,55.875013,-4.325563
11,Glasgow,G11 7AL,55.873908,-4.32586
L Block,Glasgow,G41 5SH,55.846203,-4.275879
L Block,Glasgow,G41 5SH,55.846203,-4.275879
27,Glasgow,G41 5SD,55.846607,-4.277898
21,Glasgow,G41 5SB,55.84658,-4.277033
39,Glasgow,G41 5SF,55.846631,-4.279471
36,Glasgow,G52 2EZ,55.848952,-4.349409
24,Glasgow,G52 2EZ,55.848979,-4.350274
24,Glasgow,G52 2EZ,55.848979,-4.350274
36,Glasgow,G52 2EZ,55.848979,-4.350178
27,Glasgow,G41 5JN,55.846283,-4.280541
48,Glasgow,G52 2EZ,55.848952,-4.348784
29,Glasgow,G41 5JL,55.84631,-4.281358
12,Glasgow,G52 2EA,55.849005,-4.350995
30,Glasgow,G52 2BL,55.847766,-4.344747
31,Glasgow,G41 5JJ,55.846337,-4.282127
33,Glasgow,G41 5SE,55.846634,-4.278667
30,Glasgow,G52 2BL,55.847766,-4.344747
40,Glasgow,G21 1SR,55.880188,-4.235253
195,Glasgow,G22 6BQ,55.887573,-4.234339
34,Glasgow,G22 6BU,55.887815,-4.235686
4,Glasgow,G22 6BT,55.887708,-4.233762
4,Glasgow,G22 6BT,55.887708,-4.233762
4,Glasgow,G22 6BT,55.887708,-4.233762
4,Glasgow,G22 6BT,55.887734,-4.233762
L Block,Glasgow,G41 5SH,55.846553,-4.275255
L Block,Glasgow,G41 5SH,55.846553,-4.275255
91,Glasgow,G11 7AP,55.875175,-4.324745
Dumbarton Police Station,Dumbarton,G82 3PT,55.94762,-4.54646
Dumbarton Police Station,Dumbarton,G82 3PT,55.94762,-4.54646
Lochgilphead Police Station,Lochgilphead,PA31 8JL,56.035778,-5.431641
Oban Police Station,Oban,PA34 4AJ,56.411047,-5.473952
07-Mar,Edinburgh,EH15 2LX,55.948537,-3.094099
07-Mar,Edinburgh,EH15 2LX,55.948537,-3.0941
07-Mar,Edinburgh,EH15 2LX,55.948537,-3.094101
07-Mar,Edinburgh,EH15 2LX,55.948537,-3.094102
,Edinburgh,EH16 4AE,55.931099,-3.146026
,Edinburgh,EH16 4AE,55.931099,-3.146026
,Edinburgh,EH16 4AE,55.931099,-3.146026
,Edinburgh,EH16 4AE,55.931099,-3.146026
Dunoon Police Station,Dunoon,PA23 8ES,55.955571,-4.927577
45,Glasgow,G66 1XJ,55.935438,-4.158068
45,Glasgow,G66 1XJ,55.935438,-4.158068
103,Renfrew,PA4 8LH,55.869947,-4.397948
15,Paisley,PA1 2RF,55.839357,-4.442594
15,Paisley,PA1 2RF,55.839357,-4.442594
Dumfries and Galloway College,Stranraer,DG9 7AL,54.900267,-5.023786
Dumfries and Galloway College,Stranraer,DG9 7AL,54.900267,-5.023786
New Craigs Hospital,Inverness,IV3 8GF,57.471526,-4.26592
New Craigs Hospital,Inverness,IV3 8GF,57.471526,-4.26592
New Craigs Hospital,Inverness,IV3 8GF,57.471526,-4.26592
22,Edinburgh,EH3 8AH,55.94409,-3.214668
22,Edinburgh,EH3 8AH,55.94409,-3.214668
47,Clydebank,G81 4GE,55.909592,-4.429681
47,Clydebank,G81 4GE,55.909592,-4.429682
27,Glasgow,G51 2LH,55.863802,-4.308703
37,Glasgow,G51 2LH,55.863532,-4.308031
7,Glasgow,G51 2LN,55.862427,-4.309136
130,Glasgow,G20 8JJ,55.889163,-4.290295
130,Glasgow,G20 8JJ,55.889163,-4.290295
61,Glasgow,G20 8JG,55.888543,-4.289429
110,Glasgow,G20 8JH,55.889082,-4.289141
110,Glasgow,G20 8JH,55.889082,-4.289141
32,Glasgow,G40 3EH,55.847954,-4.222342
15,Glasgow,G40 3EH,55.847469,-4.221718
105,Glasgow,G40 4SL,55.847289,-4.222439
33,Glasgow,G4 0YA,55.860271,-4.23527
7,Glasgow,G4 0PD,55.865473,-4.242527
33,Glasgow,G4 0YA,55.860271,-4.23527
76,Glasgow,G20 8AX,55.892478,-4.297801
19,Glasgow,G20 0TP,55.902908,-4.305788
11,Glasgow,G51 2BG,55.859328,-4.302792
18-Feb,Edinburgh,EH6 6SW,55.975057,-3.170549
15,Glasgow,G51 2TJ,55.851377,-4.302936
707,Glasgow,G40 2AQ,55.854665,-4.217392
160,Glasgow,G31 4LY,55.847604,-4.19913
490,Glasgow,G43 2PT,55.81696,-4.297355
5,Glasgow,G43 1TB,55.825342,-4.291067
60,Glasgow,G32 9HA,55.846149,-4.154916
19,Glasgow,G51 3EX,55.862724,-4.316825
11,Glasgow,G51 3EY,55.863263,-4.316777
9,Glasgow,G51 3EY,55.863451,-4.316873
Anniesland Court,Glasgow,G13 1LF,55.891076,-4.325419
Anniesland Court,Glasgow,G13 1LF,55.891076,-4.325419
Anniesland Court,Glasgow,G13 1LF,55.891076,-4.325419
21,Glasgow,G52 2QA,55.846634,-4.365268
33,Glasgow,G52 2QA,55.846688,-4.366325
45,Glasgow,G52 2QA,55.846688,-4.366806
24,Glasgow,G4 0YE,55.860379,-4.23724
24,Glasgow,G4 0YE,55.860379,-4.23724
48,Glasgow,G4 0XX,55.860082,-4.234213
3,Glasgow,G11 7PN,55.874555,-4.32043
01-Aug,Castle Douglas,DG7 1BH,54.944656,-3.931095
3,Glasgow,G11 7PN,55.874555,-4.32043
5,Glasgow,G41 5NQ,55.842187,-4.311875
5,Glasgow,G41 5NQ,55.842187,-4.311875
5,Glasgow,G41 5NQ,55.842187,-4.311875
54,Glasgow,G14 9BD,55.883503,-4.348032
27,Glasgow,G11 7PW,55.874798,-4.320141
27,Glasgow,G11 7PW,55.874798,-4.320141
Shawhead Industrial Estate,Coatbridge,ML5 4XD,55.842537,-4.01449
19-33,Castle Douglas,DG7 1BQ,54.943955,-3.931564
40,Edinburgh,EH6 6RS,55.975164,-3.167414
64,Edinburgh,EH7 5LJ,55.962902,-3.176143
64,Edinburgh,EH7 5LJ,55.962902,-3.176143
64,Edinburgh,EH7 5LJ,55.963279,-3.176046
The Ledge,Inverness,IV3 5LU,57.481417,-4.244309
The Ledge,Inverness,IV3 5LU,57.481417,-4.244309
The Ledge,Inverness,IV3 5LU,57.481417,-4.244309
The Ledge,Inverness,IV3 5LU,57.481417,-4.244309
21-25,Edinburgh,EH5 3AH,55.972469,-3.201461
44996,Wishaw,ML2 7AL,55.773623,-3.920862
44996,Wishaw,ML2 7AL,55.773623,-3.920862
96,Glasgow,G5 0XG,55.84057,-4.245795
53-67,Castle Douglas,DG7 1BQ,54.94382,-3.931564
44934,Castle Douglas,DG7 1BH,54.944656,-3.931095
53-67,Castle Douglas,DG7 1BQ,54.94382,-3.931564
19-33,Castle Douglas,DG7 1BQ,54.943955,-3.931564
109,Dumfries,DG2 9NL,55.084667,-3.640107
67,Dumfries,DG2 9NJ,55.083535,-3.640154
2,Lockerbie,DG11 3AX,55.026722,-3.147174
45184,Castle Douglas,DG7 1BH,54.943955,-3.931611
45184,Castle Douglas,DG7 1BH,54.943766,-3.931752
22-31,Newton Stewart,DG8 6LS,54.954412,-4.484492
22-31,Newton Stewart,DG8 6LS,54.954412,-4.484492
141-145,Glasgow,G21 2QA,55.872022,-4.226139
141-145,Glasgow,G21 2QA,55.871833,-4.227821
141-145,Glasgow,G21 2QA,55.871914,-4.227292
