Year,GDP 
1970,877057000000
1971,914185750000
1972,945712250000
1973,1001988750000
1974,997268312500
1975,1095796750000
1976,1083399125000
1977,1077118750000
1978,1055419125000
1979,983316000000
1980,1008443062500
1981,1000474937500
1982,977335375000
1983,1005880500000
1984,1007826500000
1985,1024755937500
1986,1068293000000
1987,1124369250000
1988,1212961250000
1989,1298163375000
1990,1377836000000
1991,1421673125000
1992,1499828375000
1993,1579625750000
1994,1672468250000
1995,1810855875000
1996,1957970625000
1997,2048398000000
1998,2224082750000
1999,2382391000000
2000,2493777750000
45677,2628757000000
45708,2772744250000
45736,3024855500000
45767,3309785250000
45797,3773967250000
45828,4229441500000
45858,4740285500000
45889,5023850000000
45920,5374382500000
45950,6215798000000
45981,6772307000000
46011,7319223000000
2013,7373480500000
2014,7724502000000
2015,8138651000000
2016,8632603000000
2017,9123638000000
2018,9960031000000
2019,10489483000000
2020,10056135000000
2021,11613513000000
2022,12409008000000
2023,12868320000000
