FID,LAD25CD,LAD25NM,LAD25NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
340,W06000001,Anglesey,Ynys Môn,245217,378331,-4.322981256,53.27931419,713593632.6,226621.191,7f4d0196-d6b8-43c0-bec2-7948a259ad99
356,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.185921216,51.75364339,108921470.7,60985.22587,fb75f959-2310-4c0a-955f-6850779796e4
351,W06000013,Bridgend,Pen-y-bont ar Ogwr,288231,185870,-3.613758598,51.56060203,250659723.9,82067.22624,c0a4af0d-d15c-4e9d-bc08-9a14a6c431ed
355,W06000018,Caerphilly,Caerffili,317245,195259,-3.197537699,51.6500132,278120968.8,103499.1952,28418b8c-8e59-4aea-92f6-3a0da30b8cee
353,W06000015,Cardiff,Caerdydd,315272,178887,-3.222094796,51.50254451,142433686.7,59823.84331,84cf4b86-1bba-4c6d-a43e-012878025b48
348,W06000010,Carmarthenshire,Sir Gaerfyrddin,247955,224133,-4.211091206,51.8949566,2371197168,366935.0979,a34824f0-1816-4e6e-9532-1f2c1e4c0bb4
346,W06000008,Ceredigion,Ceredigion,267127,268437,-3.949930385,52.29795326,1790869752,285688.9255,f772d3e0-8984-4521-95fc-1a965aacb2b1
342,W06000003,Conwy,Conwy,283293,362563,-3.746461475,53.1473992,1131700461,220437.7098,e62d89f4-4180-4cb3-ab20-cfbea19b2486
343,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.347610188,53.08833188,837443457.8,200167.9006,872ceeee-e4c7-4a35-94a6-476d056bbeec
344,W06000005,Flintshire,Sir y Fflint,321134,369280,-3.18248207,53.21471842,438929540.6,146485.1612,ce70341e-27d1-4e60-ba7c-31b4702288d8
341,W06000002,Gwynedd,Gwynedd,280555,334966,-3.777156561,52.89883783,2550429804,466208.8611,80124898-7a93-44dd-9f3b-7c30f95fe868
361,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206404,-3.364252272,51.74840907,112139389.1,61296.53896,619f4543-dfbd-4269-b3c9-01fb9752bee0
358,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.902805839,51.77827781,849716526.2,197999.8136,3f2fa803-5274-4ab6-877d-9ef2e298058c
350,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.746382684,51.64450866,443973108.6,135181.1448,9be12a27-d60d-493c-914a-67c0564f1a69
359,W06000022,Newport,Casnewydd,337897,187432,-2.89768985,51.58231058,191116629,112934.5914,7b12db24-bc7d-44d8-b616-f364f78ebb1b
347,W06000009,Pembrokeshire,Sir Benfro,199821,221391,-4.908184024,51.85512668,1615807469,474472.7558,732a93a0-0840-4e0a-8350-6e4fd84c92b8
360,W06000023,Powys,Powys,302329,273254,-3.435318019,52.34863905,5196370138,535460.4811,b642e1de-c944-4766-bbad-d4594c9da7fa
354,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.413597604,51.62185748,422844069.2,116981.176,dd3b939c-8391-4677-8c19-53e278785d0d
349,W06000011,Swansea,Abertawe,264022,197308,-3.967232041,51.65806601,378645682.6,156327.4506,bca9761f-8cd3-4e47-82d1-cedf6ca490e6
352,W06000014,The Vale of Glamorgan,Bro Morgannwg,302947,173080,-3.398015739,51.44836065,331624271.6,92909.86831,eef32b5e-0181-461a-b926-94236a02dbb7
357,W06000020,Torfaen,Torfaen,327459,200480,-3.051018741,51.69836104,126449018.3,72647.07665,f50301ff-95c3-41c1-ba91-804cf429e1b9
345,W06000006,Wrexham,Wrecsam,333523,345387,-2.992033218,53.0016731,503571340.7,167331.1107,055fdd68-7572-42c8-b3c8-c2b07ed5f4ea
