Building Name/No_/Location,Council Ward,Latitude,Longitude,Post Code
25,Portobello/Craigmillar,55.95281,-3.1105754,EH15 2BD
37,Portobello/Craigmillar,55.9531118,-3.1101841,EH15 2BD
60,Portobello/Craigmillar,55.9547501,-3.1107923,EH15 1HE
60,Portobello/Craigmillar,55.9547501,-3.1107923,EH15 1HE
Opp 34,,55.969431,-3.188814,EH7 4LL
Opp 36,,55.969431,-3.188814,EH7 4LL
opp. 15,Portobello/Craigmillar,55.9516498,-3.1027407,EH15 2DT
opp. 15,Portobello/Craigmillar,55.9516498,-3.1027407,EH15 2DT
opp. 51,Portobello/Craigmillar,55.9527585,-3.1056633,EH15 2BY
opp. 51,Portobello/Craigmillar,55.9527585,-3.1056633,EH15 2BY
22,Portobello/Craigmillar,55.9578423,-3.1204576,EH15 1DZ
24,Portobello/Craigmillar,55.9578423,-3.1204576,EH15 1DZ
77,Portobello/Craigmillar,55.9545478,-3.1173124,EH15 1BQ
77,Portobello/Craigmillar,55.9545478,-3.1173124,EH15 1BQ
10,Forth,55.9748742,-3.1858414,EH6 4PJ
10,Forth,55.9748742,-3.1858414,EH6 4PJ
2,Forth,55.977034,-3.1974293,EH6 4RY
4,Forth,55.977034,-3.1974293,EH6 4RY
Great Michael Square,,55.980683,-3.194241,EH6 4TB
Great Michael Square,,55.980683,-3.194241,EH6 4TB
opp. 2,City Centre,55.9488469,-3.1838383,EH1 1LZ
99a,Inverleith,55.9586768,-3.2047729,EH3 5AB
99a,Inverleith,55.9586768,-3.2047729,EH3 5AB
204,Inverleith,55.9658514,-3.2375172,EH4 2PL
near 7,Leith Walk,55.963293,-3.1918471,EH7 4HX
near 7,Leith Walk,55.963293,-3.1918471,EH7 4HX
57,City Centre,55.9596676,-3.1884698,EH7 4BW
59,City Centre,55.9596676,-3.1884698,EH7 4BW
40,Leith Walk,55.962624,-3.188869,EH7 4DB
61,Leith Walk,55.962722,-3.188873,EH7 4DJ
Opp. 1,Leith Walk,55.9596318,-3.1786519,EH7 5EZ
Opp. 1,Leith Walk,55.9596318,-3.1786519,EH7 5EZ
Near 2,Leith Walk,55.9582533,-3.176513,EH7 5EE
Near 2,Leith Walk,55.9582533,-3.176513,EH7 5EE
52,Fountainbridge/Craiglockhart,55.9381239,-3.2227877,EH11 1DY
36,Fountainbridge/Craiglockhart,55.9383038,-3.2224228,EH11 1DY
Opp. 31,Fountainbridge/Craiglockhart,55.936289,-3.2246738,EH11 1BN
Opp. 31,Fountainbridge/Craiglockhart,55.936289,-3.2246738,EH11 1BN
4,Fountainbridge/Craiglockhart,55.9391059,-3.221952,EH11 1DZ
7,Fountainbridge/Craiglockhart,55.9390563,-3.2220204,EH11 1DZ
33,Morningside,55.9376893,-3.2191947,EH11 1JX
33,Morningside,55.9376893,-3.2191947,EH11 1JX
27,Morningside,55.9378808,-3.2192101,EH11 1JF
27,Morningside,55.9378808,-3.2192101,EH11 1JF
12,Fountainbridge/Craiglockhart,55.939532,-3.2176148,EH11 1BD
12,Fountainbridge/Craiglockhart,55.939532,-3.2176148,EH11 1BD
60 / 62,Morningside,55.9246252,-3.2191703,EH10 5LT
60 / 62,Morningside,55.9246252,-3.2191703,EH10 5LT
12,Morningside,55.9228559,-3.2125708,EH10 5NA
12,Morningside,55.9228559,-3.2125708,EH10 5NA
6,Morningside,55.9234051,-3.2097144,EH10 6AF
8,Morningside,55.9234051,-3.2097144,EH10 6AF
8,Morningside,55.9262126,-3.2103198,EH10 5FT
8,Morningside,55.9262126,-3.2103198,EH10 5FT
35,Morningside,55.9276425,-3.2042356,EH10 4ST
35,Morningside,55.9276425,-3.2042356,EH10 4ST
6,Morningside,55.9295679,-3.2067201,EH10 4AH
6,Morningside,55.9295679,-3.2067201,EH10 4AH
45,Morningside,55.9301479,-3.2077235,EH10 4AL
53,Morningside,55.9301693,-3.2072791,EH10 4AL
22,Morningside,55.9354516,-3.2085569,EH10 4EA
Opp. 29,Morningside,55.9351038,-3.2085368,EH10 4EA
opp. 28,Morningside,55.9333406,-3.2150884,EH10 5AG
Opp. 6,Morningside,55.9339179,-3.2140891,EH10 5AG
5,Morningside,55.936351,-3.2092537,EH10 4EL
5,Morningside,55.936351,-3.2092537,EH10 4EL
9,Morningside,55.9382093,-3.2125513,EH10 4NE
9,Morningside,55.9382093,-3.2125513,EH10 4NE
Opp. 3,Morningside,55.9386129,-3.2119428,EH10 4LH
Opp. 3,Morningside,55.9386129,-3.2119428,EH10 4LH
9,City Centre,55.941851,-3.2041511,EH3 9ND
1,City Centre,55.9422325,-3.2003164,EH3 9HN
1,City Centre,55.9422325,-3.2003164,EH3 9HN
1,Morningside,55.9362382,-3.2026347,EH10 4EZ
1,Morningside,55.9362382,-3.2026347,EH10 4EZ
13,City Centre,55.9430097,-3.2048063,EH3 9QL
Opp. 23,Morningside,55.9393878,-3.1979553,EH9 1EF
Opp. 23,Morningside,55.9393878,-3.1979553,EH9 1EF
Opp. 19,Morningside,55.9371907,-3.1991977,EH9 1DF
Opp. 21,Morningside,55.9371907,-3.1991977,EH9 1DF
5,Southside/Newington,55.9343972,-3.1982963,EH9 2AG
5,Southside/Newington,55.9343972,-3.1982963,EH9 2AG
29,Morningside,55.9378194,-3.1978427,EH9 1DQ
74 / 75,Morningside,55.9364582,-3.1975222,EH9 1DQ
31,Morningside,55.9353872,-3.196109,EH9 1AL
31,Morningside,55.9353872,-3.196109,EH9 1AL
46,Morningside,55.9370752,-3.1961532,EH9 1BW
46,Morningside,55.9370752,-3.1961532,EH9 1BW
37,Morningside,55.9378719,-3.1946631,EH9 1HU
37,Morningside,55.9378719,-3.1946631,EH9 1HU
22,Morningside,55.9386571,-3.1931939,EH9 1JD
22,Morningside,55.9386571,-3.1931939,EH9 1JD
31,Morningside,55.9377688,-3.1931893,EH9 1HQ
31,Morningside,55.9377688,-3.1931893,EH9 1HQ
Opp. 20,Morningside,55.9380939,-3.1923831,EH9 1JG
Opp. 20,Morningside,55.9380939,-3.1923831,EH9 1JG
1,Southside/Newington,55.9393871,-3.1899397,EH9 1LJ
1,Southside/Newington,55.9393871,-3.1899397,EH9 1LJ
20,Morningside,55.9388598,-3.1925173,EH9 1JN
20,Morningside,55.9388598,-3.1925173,EH9 1JN
14,Southside/Newington,55.9397134,-3.1843855,EH9 1LY
15,Southside/Newington,55.9397134,-3.1843855,EH9 1LY
7,Southside/Newington,55.9391592,-3.1839173,EH9 1NB
7,Southside/Newington,55.9391592,-3.1839173,EH9 1NB
22,Southside/Newington,55.9425256,-3.181285,EH8 9HY
22,Southside/Newington,55.9425256,-3.181285,EH8 9HY
