
"Population estimates - local authority based by single year of age"
"ONS Crown Copyright Reserved [from Nomis on 8 January 2026]"
"Gender     :","Total"
"Age        :","All Ages"

"Area","2024"

"ladu2023:Blaenau Gwent",67873
"ladu2023:Bridgend",147530
"ladu2023:Caerphilly",176865
"ladu2023:Cardiff",383919
"ladu2023:Carmarthenshire",190800
"ladu2023:Ceredigion",72599
"ladu2023:Conwy",114891
"ladu2023:Denbighshire",98202
"ladu2023:Flintshire",155867
"ladu2023:Gwynedd",120813
"ladu2023:Isle of Anglesey",69097
"ladu2023:Merthyr Tydfil",58972
"ladu2023:Monmouthshire",94930
"ladu2023:Neath Port Talbot",143249
"ladu2023:Newport",167899
"ladu2023:Pembrokeshire",125761
"ladu2023:Powys",135059
"ladu2023:Rhondda Cynon Taf",242844
"ladu2023:Swansea",251304
"ladu2023:Torfaen",94119
"ladu2023:Vale of Glamorgan",135743
"ladu2023:Wrexham",138245
"country:Wales",3186581



