Year,GDP
01-01-1970,30312640000000.00
01-01-1980,44183777000000.00
01-01-1990,59450647052320.00
01-01-1991,59956689321229.00
01-01-1992,60734979503346.00
01-01-1993,61659660396502.00
01-01-1994,63301751352883.00
01-01-1995,65257361860698.00
01-01-1996,67671298672660.00
01-01-1997,70345381686285.00
01-01-1998,72111265798241.00
01-01-1999,74721329691922.00
01-01-2000,78305229179556.00
01-01-2001,80197423217269.00
01-01-2002,82411757388675.00
01-01-2003,85448651195489.00
01-01-2004,89851934071454.00
01-01-2005,93977591230514.00
01-01-2006,98867596746620.00
01-01-2007,104017513385738.00
01-01-2008,106935530344542.00
01-01-2009,106213411280046.00
01-01-2010,111633897788111.00
01-01-2011,116041405565904.00
01-01-2012,119666038486789.00
01-01-2013,123564434835023.00
01-01-2014,127814806686321.00
01-01-2015,132067605942275.00
01-01-2016,136355206610354.00
01-01-2017,141550444863347.00
01-01-2018,146736989612843.00
01-01-2019,151089791472102.00
01-01-2020,146874672317719.00
01-01-2021,156452667775447.00
01-01-2022,162057536780923.00
01-01-2023,167632719086259.00
01-01-2024,173162598535009.00
,
